0, 75CPU burst
75, 1, switch to kernel mode
76, 30, context saved
106, 1, find vector 5 in memory position 0x000A
107, 1, load address 0X048B into the PC
108, 40 ,call device driver
148, 40 ,call device driver
188, 40 ,call device driver
228, 40 ,call device driver
268, 40 ,call device driver
308, 11 ,call device driver
319, 1, IRET
320, 30, context restored
350, 1, switch to user mode
1, 84CPU burst
85, 1, switch to kernel mode
86, 30, context saved
116, 1, find vector 5 in memory position 0x000A
117, 1, load address 0X048B into the PC
118, 40 ,ISR body for end_io5
158, 40 ,ISR body for end_io5
198, 40 ,ISR body for end_io5
238, 40 ,ISR body for end_io5
278, 40 ,ISR body for end_io5
318, 11 ,ISR body for end_io5
329, 1, IRET
330, 30, context restored
360, 1, switch to user mode
1, 22CPU burst
23, 1, switch to kernel mode
24, 30, context saved
54, 1, find vector 10 in memory position 0x0014
55, 1, load address 0X07B0 into the PC
56, 40 ,call device driver
96, 40 ,call device driver
136, 40 ,call device driver
176, 40 ,call device driver
216, 40 ,call device driver
256, 40 ,call device driver
296, 40 ,call device driver
336, 40 ,call device driver
376, 40 ,call device driver
416, 40 ,call device driver
456, 40 ,call device driver
496, 40 ,call device driver
536, 40 ,call device driver
576, 40 ,call device driver
616, 4 ,call device driver
620, 1, IRET
621, 30, context restored
651, 1, switch to user mode
1, 80CPU burst
81, 1, switch to kernel mode
82, 30, context saved
112, 1, find vector 10 in memory position 0x0014
113, 1, load address 0X07B0 into the PC
114, 40 ,ISR body for end_io10
154, 40 ,ISR body for end_io10
194, 40 ,ISR body for end_io10
234, 40 ,ISR body for end_io10
274, 40 ,ISR body for end_io10
314, 40 ,ISR body for end_io10
354, 40 ,ISR body for end_io10
394, 40 ,ISR body for end_io10
434, 40 ,ISR body for end_io10
474, 40 ,ISR body for end_io10
514, 40 ,ISR body for end_io10
554, 40 ,ISR body for end_io10
594, 40 ,ISR body for end_io10
634, 40 ,ISR body for end_io10
674, 4 ,ISR body for end_io10
678, 1, IRET
679, 30, context restored
709, 1, switch to user mode
1, 79CPU burst
80, 1, switch to kernel mode
81, 30, context saved
111, 1, find vector 6 in memory position 0x000C
112, 1, load address 0X0639 into the PC
113, 40 ,call device driver
153, 40 ,call device driver
193, 40 ,call device driver
233, 40 ,call device driver
273, 40 ,call device driver
313, 40 ,call device driver
353, 25 ,call device driver
378, 1, IRET
379, 30, context restored
409, 1, switch to user mode
1, 68CPU burst
69, 1, switch to kernel mode
70, 30, context saved
100, 1, find vector 6 in memory position 0x000C
101, 1, load address 0X0639 into the PC
102, 40 ,ISR body for end_io6
142, 40 ,ISR body for end_io6
182, 40 ,ISR body for end_io6
222, 40 ,ISR body for end_io6
262, 40 ,ISR body for end_io6
302, 40 ,ISR body for end_io6
342, 25 ,ISR body for end_io6
367, 1, IRET
368, 30, context restored
398, 1, switch to user mode
1, 71CPU burst
72, 1, switch to kernel mode
73, 30, context saved
103, 1, find vector 4 in memory position 0x0008
104, 1, load address 0X0292 into the PC
105, 40 ,call device driver
145, 40 ,call device driver
185, 40 ,call device driver
225, 40 ,call device driver
265, 40 ,call device driver
305, 40 ,call device driver
345, 10 ,call device driver
355, 1, IRET
356, 30, context restored
386, 1, switch to user mode
1, 97CPU burst
98, 1, switch to kernel mode
99, 30, context saved
129, 1, find vector 4 in memory position 0x0008
130, 1, load address 0X0292 into the PC
131, 40 ,ISR body for end_io4
171, 40 ,ISR body for end_io4
211, 40 ,ISR body for end_io4
251, 40 ,ISR body for end_io4
291, 40 ,ISR body for end_io4
331, 40 ,ISR body for end_io4
371, 10 ,ISR body for end_io4
381, 1, IRET
382, 30, context restored
412, 1, switch to user mode
1, 84CPU burst
85, 1, switch to kernel mode
86, 30, context saved
116, 1, find vector 7 in memory position 0x000E
117, 1, load address 0X00BD into the PC
118, 40 ,call device driver
158, 40 ,call device driver
198, 40 ,call device driver
238, 32 ,call device driver
270, 1, IRET
271, 30, context restored
301, 1, switch to user mode
1, 38CPU burst
39, 1, switch to kernel mode
40, 30, context saved
70, 1, find vector 7 in memory position 0x000E
71, 1, load address 0X00BD into the PC
72, 40 ,ISR body for end_io7
112, 40 ,ISR body for end_io7
152, 40 ,ISR body for end_io7
192, 32 ,ISR body for end_io7
224, 1, IRET
225, 30, context restored
255, 1, switch to user mode
1, 90CPU burst

=== Simulation Summary ===
User time: 788 ms
Overhead time: 660 ms
Total time: 1448 ms
