0, 49CPU burst
49, 1, switch to kernel mode
50, 10, context saved
60, 1, find vector 6 in memory position 0x000C
61, 1, load address 0X0639 into the PC
62, 40 ,call device driver
102, 40 ,call device driver
142, 40 ,call device driver
182, 40 ,call device driver
222, 40 ,call device driver
262, 40 ,call device driver
302, 25 ,call device driver
327, 1, IRET
328, 10, context restored
338, 1, switch to user mode
1, 99CPU burst
100, 1, switch to kernel mode
101, 10, context saved
111, 1, find vector 6 in memory position 0x000C
112, 1, load address 0X0639 into the PC
113, 40 ,ISR body for end_io6
153, 40 ,ISR body for end_io6
193, 40 ,ISR body for end_io6
233, 40 ,ISR body for end_io6
273, 40 ,ISR body for end_io6
313, 40 ,ISR body for end_io6
353, 25 ,ISR body for end_io6
378, 1, IRET
379, 10, context restored
389, 1, switch to user mode
1, 72CPU burst
73, 1, switch to kernel mode
74, 10, context saved
84, 1, find vector 13 in memory position 0x001A
85, 1, load address 0X06C7 into the PC
86, 40 ,call device driver
126, 40 ,call device driver
166, 40 ,call device driver
206, 40 ,call device driver
246, 40 ,call device driver
286, 40 ,call device driver
326, 40 ,call device driver
366, 40 ,call device driver
406, 40 ,call device driver
446, 40 ,call device driver
486, 40 ,call device driver
526, 40 ,call device driver
566, 40 ,call device driver
606, 40 ,call device driver
646, 40 ,call device driver
686, 36 ,call device driver
722, 1, IRET
723, 10, context restored
733, 1, switch to user mode
1, 29CPU burst
30, 1, switch to kernel mode
31, 10, context saved
41, 1, find vector 13 in memory position 0x001A
42, 1, load address 0X06C7 into the PC
43, 40 ,ISR body for end_io13
83, 40 ,ISR body for end_io13
123, 40 ,ISR body for end_io13
163, 40 ,ISR body for end_io13
203, 40 ,ISR body for end_io13
243, 40 ,ISR body for end_io13
283, 40 ,ISR body for end_io13
323, 40 ,ISR body for end_io13
363, 40 ,ISR body for end_io13
403, 40 ,ISR body for end_io13
443, 40 ,ISR body for end_io13
483, 40 ,ISR body for end_io13
523, 40 ,ISR body for end_io13
563, 40 ,ISR body for end_io13
603, 40 ,ISR body for end_io13
643, 36 ,ISR body for end_io13
679, 1, IRET
680, 10, context restored
690, 1, switch to user mode
1, 19CPU burst
20, 1, switch to kernel mode
21, 10, context saved
31, 1, find vector 8 in memory position 0x0010
32, 1, load address 0X06EF into the PC
33, 40 ,call device driver
73, 40 ,call device driver
113, 40 ,call device driver
153, 40 ,call device driver
193, 40 ,call device driver
233, 40 ,call device driver
273, 40 ,call device driver
313, 40 ,call device driver
353, 40 ,call device driver
393, 40 ,call device driver
433, 40 ,call device driver
473, 40 ,call device driver
513, 40 ,call device driver
553, 40 ,call device driver
593, 40 ,call device driver
633, 40 ,call device driver
673, 40 ,call device driver
713, 40 ,call device driver
753, 40 ,call device driver
793, 40 ,call device driver
833, 40 ,call device driver
873, 40 ,call device driver
913, 40 ,call device driver
953, 40 ,call device driver
993, 40 ,call device driver
1033, 1, IRET
1034, 10, context restored
1044, 1, switch to user mode
1, 66CPU burst
67, 1, switch to kernel mode
68, 10, context saved
78, 1, find vector 8 in memory position 0x0010
79, 1, load address 0X06EF into the PC
80, 40 ,ISR body for end_io8
120, 40 ,ISR body for end_io8
160, 40 ,ISR body for end_io8
200, 40 ,ISR body for end_io8
240, 40 ,ISR body for end_io8
280, 40 ,ISR body for end_io8
320, 40 ,ISR body for end_io8
360, 40 ,ISR body for end_io8
400, 40 ,ISR body for end_io8
440, 40 ,ISR body for end_io8
480, 40 ,ISR body for end_io8
520, 40 ,ISR body for end_io8
560, 40 ,ISR body for end_io8
600, 40 ,ISR body for end_io8
640, 40 ,ISR body for end_io8
680, 40 ,ISR body for end_io8
720, 40 ,ISR body for end_io8
760, 40 ,ISR body for end_io8
800, 40 ,ISR body for end_io8
840, 40 ,ISR body for end_io8
880, 40 ,ISR body for end_io8
920, 40 ,ISR body for end_io8
960, 40 ,ISR body for end_io8
1000, 40 ,ISR body for end_io8
1040, 40 ,ISR body for end_io8
1080, 1, IRET
1081, 10, context restored
1091, 1, switch to user mode
1, 11CPU burst
12, 1, switch to kernel mode
13, 10, context saved
23, 1, find vector 4 in memory position 0x0008
24, 1, load address 0X0292 into the PC
25, 40 ,call device driver
65, 40 ,call device driver
105, 40 ,call device driver
145, 40 ,call device driver
185, 40 ,call device driver
225, 40 ,call device driver
265, 10 ,call device driver
275, 1, IRET
276, 10, context restored
286, 1, switch to user mode
1, 21CPU burst
22, 1, switch to kernel mode
23, 10, context saved
33, 1, find vector 4 in memory position 0x0008
34, 1, load address 0X0292 into the PC
35, 40 ,ISR body for end_io4
75, 40 ,ISR body for end_io4
115, 40 ,ISR body for end_io4
155, 40 ,ISR body for end_io4
195, 40 ,ISR body for end_io4
235, 40 ,ISR body for end_io4
275, 10 ,ISR body for end_io4
285, 1, IRET
286, 10, context restored
296, 1, switch to user mode
1, 100CPU burst
101, 1, switch to kernel mode
102, 10, context saved
112, 1, find vector 18 in memory position 0x0024
113, 1, load address 0X060A into the PC
114, 40 ,call device driver
154, 40 ,call device driver
194, 40 ,call device driver
234, 3 ,call device driver
237, 1, IRET
238, 10, context restored
248, 1, switch to user mode
1, 41CPU burst
42, 1, switch to kernel mode
