0, 86CPU burst
86, 1, switch to kernel mode
87, 10, context saved
97, 1, find vector 9 in memory position 0x0012
98, 1, load address 0X036C into the PC
99, 40 ,call device driver
139, 40 ,call device driver
179, 40 ,call device driver
219, 36 ,call device driver
255, 1, IRET
256, 10, context restored
266, 1, switch to user mode
1, 61CPU burst
62, 1, switch to kernel mode
63, 10, context saved
73, 1, find vector 9 in memory position 0x0012
74, 1, load address 0X036C into the PC
75, 40 ,ISR body for end_io9
115, 40 ,ISR body for end_io9
155, 40 ,ISR body for end_io9
195, 36 ,ISR body for end_io9
231, 1, IRET
232, 10, context restored
242, 1, switch to user mode
1, 27CPU burst
28, 1, switch to kernel mode
29, 10, context saved
39, 1, find vector 17 in memory position 0x0022
40, 1, load address 0X05B3 into the PC
41, 40 ,call device driver
81, 40 ,call device driver
121, 40 ,call device driver
161, 40 ,call device driver
201, 40 ,call device driver
241, 35 ,call device driver
276, 1, IRET
277, 10, context restored
287, 1, switch to user mode
1, 19CPU burst
20, 1, switch to kernel mode
21, 10, context saved
31, 1, find vector 17 in memory position 0x0022
32, 1, load address 0X05B3 into the PC
33, 40 ,ISR body for end_io17
73, 40 ,ISR body for end_io17
113, 40 ,ISR body for end_io17
153, 40 ,ISR body for end_io17
193, 40 ,ISR body for end_io17
233, 35 ,ISR body for end_io17
268, 1, IRET
269, 10, context restored
279, 1, switch to user mode
1, 92CPU burst
93, 1, switch to kernel mode
94, 10, context saved
104, 1, find vector 8 in memory position 0x0010
105, 1, load address 0X06EF into the PC
106, 40 ,call device driver
146, 40 ,call device driver
186, 40 ,call device driver
226, 40 ,call device driver
266, 40 ,call device driver
306, 40 ,call device driver
346, 40 ,call device driver
386, 40 ,call device driver
426, 40 ,call device driver
466, 40 ,call device driver
506, 40 ,call device driver
546, 40 ,call device driver
586, 40 ,call device driver
626, 40 ,call device driver
666, 40 ,call device driver
706, 40 ,call device driver
746, 40 ,call device driver
786, 40 ,call device driver
826, 40 ,call device driver
866, 40 ,call device driver
906, 40 ,call device driver
946, 40 ,call device driver
986, 40 ,call device driver
1026, 40 ,call device driver
1066, 40 ,call device driver
1106, 1, IRET
1107, 10, context restored
1117, 1, switch to user mode
1, 36CPU burst
37, 1, switch to kernel mode
38, 10, context saved
48, 1, find vector 8 in memory position 0x0010
49, 1, load address 0X06EF into the PC
50, 40 ,ISR body for end_io8
90, 40 ,ISR body for end_io8
130, 40 ,ISR body for end_io8
170, 40 ,ISR body for end_io8
210, 40 ,ISR body for end_io8
250, 40 ,ISR body for end_io8
290, 40 ,ISR body for end_io8
330, 40 ,ISR body for end_io8
370, 40 ,ISR body for end_io8
410, 40 ,ISR body for end_io8
