0, 14CPU burst
14, 1, switch to kernel mode
15, 10, context saved
25, 1, find vector 5 in memory position 0x000A
26, 1, load address 0X048B into the PC
27, 40 ,call device driver
67, 40 ,call device driver
107, 40 ,call device driver
147, 40 ,call device driver
187, 40 ,call device driver
227, 11 ,call device driver
238, 1, IRET
239, 10, context restored
249, 1, switch to user mode
1, 78CPU burst
79, 1, switch to kernel mode
80, 10, context saved
90, 1, find vector 5 in memory position 0x000A
91, 1, load address 0X048B into the PC
92, 40 ,ISR body for end_io5
132, 40 ,ISR body for end_io5
172, 40 ,ISR body for end_io5
212, 40 ,ISR body for end_io5
252, 40 ,ISR body for end_io5
292, 11 ,ISR body for end_io5
303, 1, IRET
304, 10, context restored
314, 1, switch to user mode
1, 84CPU burst
85, 1, switch to kernel mode
86, 10, context saved
96, 1, find vector 16 in memory position 0x0020
97, 1, load address 0X02DF into the PC
98, 40 ,call device driver
138, 40 ,call device driver
178, 40 ,call device driver
218, 40 ,call device driver
258, 40 ,call device driver
298, 40 ,call device driver
338, 40 ,call device driver
378, 40 ,call device driver
418, 40 ,call device driver
458, 40 ,call device driver
498, 40 ,call device driver
538, 40 ,call device driver
578, 40 ,call device driver
618, 40 ,call device driver
658, 40 ,call device driver
698, 40 ,call device driver
738, 40 ,call device driver
778, 40 ,call device driver
818, 40 ,call device driver
858, 40 ,call device driver
898, 40 ,call device driver
938, 40 ,call device driver
978, 40 ,call device driver
1018, 36 ,call device driver
1054, 1, IRET
1055, 10, context restored
1065, 1, switch to user mode
1, 70CPU burst
71, 1, switch to kernel mode
72, 10, context saved
82, 1, find vector 16 in memory position 0x0020
83, 1, load address 0X02DF into the PC
84, 40 ,ISR body for end_io16
124, 40 ,ISR body for end_io16
164, 40 ,ISR body for end_io16
204, 40 ,ISR body for end_io16
244, 40 ,ISR body for end_io16
284, 40 ,ISR body for end_io16
324, 40 ,ISR body for end_io16
364, 40 ,ISR body for end_io16
404, 40 ,ISR body for end_io16
444, 40 ,ISR body for end_io16
484, 40 ,ISR body for end_io16
524, 40 ,ISR body for end_io16
564, 40 ,ISR body for end_io16
604, 40 ,ISR body for end_io16
644, 40 ,ISR body for end_io16
684, 40 ,ISR body for end_io16
724, 40 ,ISR body for end_io16
764, 40 ,ISR body for end_io16
804, 40 ,ISR body for end_io16
844, 40 ,ISR body for end_io16
884, 40 ,ISR body for end_io16
924, 40 ,ISR body for end_io16
964, 40 ,ISR body for end_io16
1004, 36 ,ISR body for end_io16
1040, 1, IRET
1041, 10, context restored
1051, 1, switch to user mode
1, 35CPU burst
36, 1, switch to kernel mode
37, 10, context saved
47, 1, find vector 9 in memory position 0x0012
48, 1, load address 0X036C into the PC
49, 40 ,call device driver
89, 40 ,call device driver
129, 40 ,call device driver
169, 36 ,call device driver
205, 1, IRET
206, 10, context restored
216, 1, switch to user mode
1, 51CPU burst
52, 1, switch to kernel mode
53, 10, context saved
63, 1, find vector 9 in memory position 0x0012
64, 1, load address 0X036C into the PC
65, 40 ,ISR body for end_io9
105, 40 ,ISR body for end_io9
145, 40 ,ISR body for end_io9
185, 36 ,ISR body for end_io9
221, 1, IRET
222, 10, context restored
232, 1, switch to user mode
1, 72CPU burst
73, 1, switch to kernel mode
74, 10, context saved
84, 1, find vector 2 in memory position 0x0004
85, 1, load address 0X0695 into the PC
86, 40 ,call device driver
126, 40 ,call device driver
166, 40 ,call device driver
206, 30 ,call device driver
236, 1, IRET
237, 10, context restored
247, 1, switch to user mode
1, 99CPU burst
100, 1, switch to kernel mode
101, 10, context saved
111, 1, find vector 2 in memory position 0x0004
112, 1, load address 0X0695 into the PC
113, 40 ,ISR body for end_io2
153, 40 ,ISR body for end_io2
193, 40 ,ISR body for end_io2
233, 30 ,ISR body for end_io2
263, 1, IRET
264, 10, context restored
274, 1, switch to user mode
1, 69CPU burst
70, 1, switch to kernel mode
71, 10, context saved
81, 1, find vector 11 in memory position 0x0016
82, 1, load address 0X01F8 into the PC
83, 40 ,call device driver
123, 40 ,call device driver
163, 40 ,call device driver
203, 40 ,call device driver
243, 40 ,call device driver
283, 40 ,call device driver
323, 40 ,call device driver
363, 40 ,call device driver
403, 40 ,call device driver
443, 40 ,call device driver
483, 40 ,call device driver
523, 40 ,call device driver
563, 40 ,call device driver
603, 3 ,call device driver
606, 1, IRET
607, 10, context restored
617, 1, switch to user mode
1, 70CPU burst
71, 1, switch to kernel mode
72, 10, context saved
82, 1, find vector 11 in memory position 0x0016
83, 1, load address 0X01F8 into the PC
84, 40 ,ISR body for end_io11
124, 40 ,ISR body for end_io11
164, 40 ,ISR body for end_io11
204, 40 ,ISR body for end_io11
244, 40 ,ISR body for end_io11
284, 40 ,ISR body for end_io11
324, 40 ,ISR body for end_io11
364, 40 ,ISR body for end_io11
404, 40 ,ISR body for end_io11
444, 40 ,ISR body for end_io11
484, 40 ,ISR body for end_io11
524, 40 ,ISR body for end_io11
564, 40 ,ISR body for end_io11
604, 3 ,ISR body for end_io11
607, 1, IRET
608, 10, context restored
618, 1, switch to user mode
1, 62CPU burst
63, 1, switch to kernel mode
64, 10, context saved
74, 1, find vector 19 in memory position 0x0026
75, 1, load address 0X0765 into the PC
76, 40 ,call device driver
116, 40 ,call device driver
156, 40 ,call device driver
196, 40 ,call device driver
236, 40 ,call device driver
276, 40 ,call device driver
316, 40 ,call device driver
356, 40 ,call device driver
396, 40 ,call device driver
436, 40 ,call device driver
476, 40 ,call device driver
516, 40 ,call device driver
556, 40 ,call device driver
596, 40 ,call device driver
636, 40 ,call device driver
676, 40 ,call device driver
716, 12 ,call device driver
728, 1, IRET
729, 10, context restored
739, 1, switch to user mode
1, 34CPU burst
35, 1, switch to kernel mode
36, 10, context saved
46, 1, find vector 19 in memory position 0x0026
47, 1, load address 0X0765 into the PC
48, 40 ,ISR body for end_io19
88, 40 ,ISR body for end_io19
128, 40 ,ISR body for end_io19
168, 40 ,ISR body for end_io19
208, 40 ,ISR body for end_io19
248, 40 ,ISR body for end_io19
288, 40 ,ISR body for end_io19
328, 40 ,ISR body for end_io19
368, 40 ,ISR body for end_io19
408, 40 ,ISR body for end_io19
448, 40 ,ISR body for end_io19
488, 40 ,ISR body for end_io19
528, 40 ,ISR body for end_io19
568, 40 ,ISR body for end_io19
608, 40 ,ISR body for end_io19
648, 40 ,ISR body for end_io19
688, 12 ,ISR body for end_io19
700, 1, IRET
701, 10, context restored
711, 1, switch to user mode
1, 85CPU burst
86, 1, switch to kernel mode
87, 10, context saved
97, 1, find vector 15 in memory position 0x001E
98, 1, load address 0X0584 into the PC
99, 40 ,call device driver
139, 28 ,call device driver
167, 1, IRET
168, 10, context restored
178, 1, switch to user mode
1, 73CPU burst
74, 1, switch to kernel mode
75, 10, context saved
85, 1, find vector 15 in memory position 0x001E
86, 1, load address 0X0584 into the PC
87, 40 ,ISR body for end_io15
127, 28 ,ISR body for end_io15
155, 1, IRET
156, 10, context restored
166, 1, switch to user mode
1, 26CPU burst
27, 1, switch to kernel mode
28, 10, context saved
38, 1, find vector 10 in memory position 0x0014
39, 1, load address 0X07B0 into the PC
40, 40 ,call device driver
80, 40 ,call device driver
120, 40 ,call device driver
160, 40 ,call device driver
200, 40 ,call device driver
240, 40 ,call device driver
280, 40 ,call device driver
320, 40 ,call device driver
360, 40 ,call device driver
400, 40 ,call device driver
440, 40 ,call device driver
480, 40 ,call device driver
520, 40 ,call device driver
560, 40 ,call device driver
600, 4 ,call device driver
604, 1, IRET
605, 10, context restored
615, 1, switch to user mode
1, 89CPU burst
90, 1, switch to kernel mode
91, 10, context saved
101, 1, find vector 10 in memory position 0x0014
102, 1, load address 0X07B0 into the PC
103, 40 ,ISR body for end_io10
143, 40 ,ISR body for end_io10
183, 40 ,ISR body for end_io10
223, 40 ,ISR body for end_io10
263, 40 ,ISR body for end_io10
303, 40 ,ISR body for end_io10
343, 40 ,ISR body for end_io10
383, 40 ,ISR body for end_io10
423, 40 ,ISR body for end_io10
463, 40 ,ISR body for end_io10
503, 40 ,ISR body for end_io10
543, 40 ,ISR body for end_io10
583, 40 ,ISR body for end_io10
623, 40 ,ISR body for end_io10
663, 4 ,ISR body for end_io10
667, 1, IRET
668, 10, context restored
678, 1, switch to user mode
1, 15CPU burst
16, 1, switch to kernel mode
17, 10, context saved
27, 1, find vector 7 in memory position 0x000E
28, 1, load address 0X00BD into the PC
29, 40 ,call device driver
69, 40 ,call device driver
109, 40 ,call device driver
149, 32 ,call device driver
181, 1, IRET
182, 10, context restored
192, 1, switch to user mode
1, 24CPU burst
25, 1, switch to kernel mode
26, 10, context saved
36, 1, find vector 7 in memory position 0x000E
37, 1, load address 0X00BD into the PC
38, 40 ,ISR body for end_io7
78, 40 ,ISR body for end_io7
118, 40 ,ISR body for end_io7
158, 32 ,ISR body for end_io7
190, 1, IRET
191, 10, context restored
201, 1, switch to user mode
1, 23CPU burst
24, 1, switch to kernel mode
25, 10, context saved
35, 1, find vector 10 in memory position 0x0014
36, 1, load address 0X07B0 into the PC
37, 40 ,call device driver
77, 40 ,call device driver
117, 40 ,call device driver
157, 40 ,call device driver
197, 40 ,call device driver
237, 40 ,call device driver
277, 40 ,call device driver
317, 40 ,call device driver
357, 40 ,call device driver
397, 40 ,call device driver
437, 40 ,call device driver
477, 40 ,call device driver
517, 40 ,call device driver
557, 40 ,call device driver
597, 4 ,call device driver
601, 1, IRET
602, 10, context restored
612, 1, switch to user mode
1, 57CPU burst
58, 1, switch to kernel mode
59, 10, context saved
69, 1, find vector 10 in memory position 0x0014
70, 1, load address 0X07B0 into the PC
71, 40 ,ISR body for end_io10
111, 40 ,ISR body for end_io10
151, 40 ,ISR body for end_io10
191, 40 ,ISR body for end_io10
231, 40 ,ISR body for end_io10
271, 40 ,ISR body for end_io10
311, 40 ,ISR body for end_io10
351, 40 ,ISR body for end_io10
391, 40 ,ISR body for end_io10
431, 40 ,ISR body for end_io10
471, 40 ,ISR body for end_io10
511, 40 ,ISR body for end_io10
551, 40 ,ISR body for end_io10
591, 40 ,ISR body for end_io10
631, 4 ,ISR body for end_io10
635, 1, IRET
636, 10, context restored
646, 1, switch to user mode
1, 11CPU burst
12, 1, switch to kernel mode
13, 10, context saved
23, 1, find vector 4 in memory position 0x0008
24, 1, load address 0X0292 into the PC
25, 40 ,call device driver
65, 40 ,call device driver
105, 40 ,call device driver
145, 40 ,call device driver
185, 40 ,call device driver
225, 40 ,call device driver
265, 10 ,call device driver
275, 1, IRET
276, 10, context restored
286, 1, switch to user mode
1, 100CPU burst
101, 1, switch to kernel mode
102, 10, context saved
112, 1, find vector 4 in memory position 0x0008
113, 1, load address 0X0292 into the PC
114, 40 ,ISR body for end_io4
154, 40 ,ISR body for end_io4
194, 40 ,ISR body for end_io4
234, 40 ,ISR body for end_io4
274, 40 ,ISR body for end_io4
314, 40 ,ISR body for end_io4
354, 10 ,ISR body for end_io4
364, 1, IRET
365, 10, context restored
375, 1, switch to user mode
1, 73CPU burst
74, 1, switch to kernel mode
75, 10, context saved
85, 1, find vector 11 in memory position 0x0016
86, 1, load address 0X01F8 into the PC
87, 40 ,call device driver
127, 40 ,call device driver
167, 40 ,call device driver
207, 40 ,call device driver
247, 40 ,call device driver
287, 40 ,call device driver
327, 40 ,call device driver
367, 40 ,call device driver
407, 40 ,call device driver
447, 40 ,call device driver
487, 40 ,call device driver
527, 40 ,call device driver
567, 40 ,call device driver
607, 3 ,call device driver
610, 1, IRET
611, 10, context restored
621, 1, switch to user mode
1, 18CPU burst
19, 1, switch to kernel mode
20, 10, context saved
30, 1, find vector 11 in memory position 0x0016
31, 1, load address 0X01F8 into the PC
32, 40 ,ISR body for end_io11
72, 40 ,ISR body for end_io11
112, 40 ,ISR body for end_io11
152, 40 ,ISR body for end_io11
192, 40 ,ISR body for end_io11
232, 40 ,ISR body for end_io11
272, 40 ,ISR body for end_io11
312, 40 ,ISR body for end_io11
352, 40 ,ISR body for end_io11
392, 40 ,ISR body for end_io11
432, 40 ,ISR body for end_io11
472, 40 ,ISR body for end_io11
512, 40 ,ISR body for end_io11
552, 3 ,ISR body for end_io11
555, 1, IRET
556, 10, context restored
566, 1, switch to user mode
1, 34CPU burst
35, 1, switch to kernel mode
36, 10, context saved
46, 1, find vector 4 in memory position 0x0008
47, 1, load address 0X0292 into the PC
48, 40 ,call device driver
88, 40 ,call device driver
128, 40 ,call device driver
168, 40 ,call device driver
208, 40 ,call device driver
248, 40 ,call device driver
288, 10 ,call device driver
298, 1, IRET
299, 10, context restored
309, 1, switch to user mode
1, 65CPU burst
66, 1, switch to kernel mode
67, 10, context saved
77, 1, find vector 4 in memory position 0x0008
78, 1, load address 0X0292 into the PC
79, 40 ,ISR body for end_io4
119, 40 ,ISR body for end_io4
159, 40 ,ISR body for end_io4
199, 40 ,ISR body for end_io4
239, 40 ,ISR body for end_io4
279, 40 ,ISR body for end_io4
319, 10 ,ISR body for end_io4
329, 1, IRET
330, 10, context restored
340, 1, switch to user mode
1, 77CPU burst
78, 1, switch to kernel mode
79, 10, context saved
89, 1, find vector 15 in memory position 0x001E
90, 1, load address 0X0584 into the PC
91, 40 ,call device driver
131, 28 ,call device driver
159, 1, IRET
160, 10, context restored
170, 1, switch to user mode
1, 31CPU burst
32, 1, switch to kernel mode
33, 10, context saved
43, 1, find vector 15 in memory position 0x001E
44, 1, load address 0X0584 into the PC
45, 40 ,ISR body for end_io15
85, 28 ,ISR body for end_io15
113, 1, IRET
114, 10, context restored
124, 1, switch to user mode
1, 18CPU burst
19, 1, switch to kernel mode
20, 10, context saved
30, 1, find vector 6 in memory position 0x000C
31, 1, load address 0X0639 into the PC
32, 40 ,call device driver
72, 40 ,call device driver
112, 40 ,call device driver
152, 40 ,call device driver
192, 40 ,call device driver
232, 40 ,call device driver
272, 25 ,call device driver
297, 1, IRET
298, 10, context restored
308, 1, switch to user mode
1, 84CPU burst
85, 1, switch to kernel mode
86, 10, context saved
96, 1, find vector 6 in memory position 0x000C
97, 1, load address 0X0639 into the PC
98, 40 ,ISR body for end_io6
138, 40 ,ISR body for end_io6
178, 40 ,ISR body for end_io6
218, 40 ,ISR body for end_io6
258, 40 ,ISR body for end_io6
298, 40 ,ISR body for end_io6
338, 25 ,ISR body for end_io6
363, 1, IRET
364, 10, context restored
374, 1, switch to user mode
1, 39CPU burst
40, 1, switch to kernel mode
41, 10, context saved
51, 1, find vector 6 in memory position 0x000C
